creator_id,med_followers,med_unq_viewers,med_duration,spon_rate,n_sessions,log_med_followers,log_med_unq_viewers,segment,split
1,1000986.0,48750.0,119.0,0.4666666666666667,15,13.816497071200038,10.79448098903612,2,train
2,1015824.5,50583.0,124.0,0.5384615384615384,26,13.831212140401002,10.83139059973845,2,train
3,983888.5,46402.5,131.0,0.5,24,13.79926887298067,10.745130166404053,2,train
4,977156.5,44808.0,146.5,0.4375,16,13.792403125811257,10.710164291083952,2,train
5,1050563.0,56349.0,120.0,0.5517241379310345,29,13.864837720781264,10.939337519467923,2,train
6,65361.0,3133.0,125.0,0.4666666666666667,15,11.087696328820924,8.050065422915965,3,train
7,71755.0,3598.0,139.0,0.5185185185185185,27,11.181026753818982,8.188411308079031,3,train
8,113643.0,5456.0,138.0,0.391304347826087,23,11.640826034222295,8.604654467186231,1,train
9,106304.0,5308.0,126.0,0.5172413793103449,29,11.574067599912466,8.57715877258367,0,train
10,94320.0,4631.0,127.0,0.5294117647058824,17,11.454459137360308,8.440744019252831,0,train
11,85410.5,4295.5,115.5,0.4375,16,11.355236031132307,8.365556016753278,0,train
12,151821.0,7508.5,161.0,0.5,12,11.930464060978919,8.923924164645635,1,train
13,79930.0,3978.0,134.0,0.3333333333333333,18,11.288919041488882,8.288785810426928,1,train
14,55276.0,2944.0,118.0,0.45454545454545453,11,10.920112187793817,7.987864096085687,3,train
15,85478.5,4406.5,124.0,0.65,20,11.356031860094498,8.391062914272025,0,train
16,63922.0,3222.0,148.0,0.29411764705882354,17,11.06543451300589,8.078067881815437,1,train
17,121018.0,6002.0,129.5,0.6538461538461539,26,11.703702837045164,8.700014623251842,0,train
18,88013.0,4191.0,162.5,0.4375,16,11.385251171715817,8.340933226000878,1,train
19,97896.5,4567.5,128.5,0.5769230769230769,26,11.491676291931055,8.426940202438676,0,train
20,101821.5,5098.0,131.0,0.46153846153846156,26,11.530986380287883,8.536799721055155,1,train
21,99268.5,4853.0,129.0,0.625,24,11.505593652802673,8.487558386286548,0,train
22,81384.0,3825.0,135.0,0.45,20,11.3069462598256,8.249575150000199,1,train
23,121394.0,6099.0,119.0,0.5416666666666666,24,11.706804970597911,8.716044050161402,2,train
24,111441.0,5765.0,137.0,0.6842105263157895,19,11.621259555169887,8.659733878198347,0,test
25,108019.0,5720.5,144.5,0.4375,16,11.590071674146882,8.651986287757769,1,train
26,138862.0,7570.0,106.5,0.5,18,11.841243114567625,8.932080438103307,2,train
27,107611.0,5604.0,118.0,0.6470588235294118,17,11.586287444655033,8.63141433550626,0,train
28,127323.0,7275.0,136.0,0.4444444444444444,9,11.754490297804821,8.892336539638013,2,train
29,126529.5,5681.5,137.0,0.3888888888888889,18,11.748238664807525,8.645146555726699,1,train
30,96958.0,4551.5,109.0,0.5833333333333334,24,11.482043487718604,8.423431811601763,0,test
31,118363.0,6479.0,135.0,0.5263157894736842,19,11.681519901144183,8.776475789346321,2,train
32,155020.0,7441.0,120.0,0.5172413793103449,29,11.951315870595241,8.914894908906568,2,train
33,104252.0,4993.0,137.0,0.42857142857142855,21,11.554575916225415,8.515992470839718,1,test
